Name,Address,Latitude,Longitude,Rating,Total Ratings,Place ID,Types,geometry,neighbourhood,neighbourhood_group,Popularity,Normalized Popularity
Maple Woods,"634 Richmond Rd #2410, Staten Island, NY 10304, United States",40.6111529,-74.0881205,4.7,3.0,ChIJGY0MBfhOwokRvPQQu02WPzU,"tourist_attraction, park, point_of_interest, establishment",POINT (-74.0881205 40.6111529),,,4.094738266263178,0.29512632601579997
Brady's Pond Park,"Hylan Blvd, Staten Island, NY 10305, United States",40.605273,-74.0790291,4.3,66.0,ChIJZdCD0f1OwokR8errf-1wjTM,"tourist_attraction, park, point_of_interest, establishment",POINT (-74.0790291 40.605273),Concord,Staten Island,4.120924626141347,0.31683780061581307
John E. White Park,"35 Lyman Ave #3812, Staten Island, NY 10305, United States",40.6076007,-74.06315049999999,4.3,48.0,ChIJ-U5dJQhPwokRL__3TM5fWh4,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.06315049999999 40.6076007),Shore Acres,Staten Island,4.113428447700752,0.3106226149784296
Roman’s Park Center,"160 Father Capodanno Blvd, Staten Island, NY 10305, United States",40.5927574,-74.0628558,4.6,5.0,ChIJjzgsgOhPwokRwhUKWD0-plk,"park, point_of_interest, establishment",POINT (-74.0628558 40.5927574),Arrochar,Staten Island,4.096574244215306,0.2966485608303853
Gen. Douglas MacArthur Park,"Dongan Hills Ave &, Jefferson St, Staten Island, NY 10306, United States",40.5865594,-74.1001446,4.3,156.0,ChIJRbDsfsdOwokR4JzkVFyeOZM,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.1001446 40.5865594),Dongan Hills,Staten Island,4.150881473069374,0.3416754383860234
Fort Wadsworth - Gateway National Recreation Area,"Staten Island, NY 10305, United States",40.6037646,-74.0584624,4.6,1565.0,ChIJwwvnDg5PwokR77Ui7yGuasw,"park, point_of_interest, establishment",POINT (-74.0584624 40.6037646),Fort Wadsworth,Staten Island,4.499935404474229,0.6310808998930738
Staten Island Borough Hall,"10 Richmond Ter, Staten Island, NY 10301, United States",40.6424311,-74.0761249,4.5,14.0,ChIJ_aiRJtNPwokRI8Ap9t7vw2c,"tourist_attraction, point_of_interest, establishment",POINT (-74.0761249 40.6424311),St. George,Staten Island,4.104480385129604,0.303203652047474
Norway Triangle,"Norway Ave &, McClean Ave, Staten Island, NY 10305, United States",40.5940894,-74.0788216,3.0,2.0,ChIJEXbOSTVPwokRSiLZ2pHdBtc,"park, point_of_interest, establishment",POINT (-74.0788216 40.5940894),Arrochar,Staten Island,4.084307897164905,0.28647836215982647
Angel Circle,"425-431 Fingerboard Rd, Staten Island, NY 10305, United States",40.6016523,-74.0723616,4.8,27.0,ChIJm_UodwNPwokRfugP1ViaeZY,"park, point_of_interest, establishment",POINT (-74.0723616 40.6016523),Concord,Staten Island,4.1368563142086145,0.33004698442055314
Old Town Playground,"Parkinson Ave &, Kramer St, Staten Island, NY 10305, United States",40.5954206,-74.0814254,4.1,68.0,ChIJ6SOGXeFOwokRbXhOdYmwOaM,"tourist_attraction, park, point_of_interest, establishment",POINT (-74.0814254 40.5954206),Arrochar,Staten Island,4.091498294469608,0.2924400204113507
